,id. ID de la réponse,Q111_SQ001. 1. Environnemen..  [Laboratoire néc.. ],Q111_SQ002. 1. Environnemen..  [Cadre clinique/.. ],Q111_SQ003. 1. Environnemen..  [Travail de « te.. ],Q111_SQ004. 1. Environnemen..  [Bibliothèque ou.. ],Q111_SQ005. 1. Environnemen..  [Sur un ordinate.. ],Q111_SQ006. 1. Environnemen..  [Sur un ordinate.. ],Q212_SQ001. 2. Le terme de ..  [Corpus],Q212_SQ002. 2. Le terme de ..  [Ressources],Q212_SQ003. 2. Le terme de ..  [Valeurs],Q212_SQ004. 2. Le terme de ..  [Sources],Q212_SQ005. 2. Le terme de ..  [Matériaux],Q212_SQ006. 2. Le terme de ..  [Mesures],Q212_SQ007. 2. Le terme de ..  [Statistiques],Q212_SQ008. 2. Le terme de ..  [Jeux de données.. ],Q212_SQ009. 2. Le terme de ..  [Base de données],Q212_SQ010. 2. Le terme de ..  [Pipeline],Q212_SQ011. 2. Le terme de ..  [Données brutes],Q212_SQ012. 2. Le terme de ..  [Données nettoyées],Q212_SQ013. 2. Le terme de ..  [Données négatives],Q112_SQ001. 3. Lesquelles d..  [Amélioration de.. ],Q112_SQ009. 3. Lesquelles d..  [Préparation d'é.. ],Q112_SQ002. 3. Lesquelles d..  [Standardisation.. ],Q112_SQ003. 3. Lesquelles d..  [Collecte de don.. ],Q112_SQ008. 3. Lesquelles d..  [Collecte de don.. ],Q112_SQ004. 3. Lesquelles d..  [Création d’une .. ],Q112_SQ005. 3. Lesquelles d..  [Automatisation .. ],Q112_SQ006. 3. Lesquelles d..  [Création d’arte.. ],Q112_SQ007. 3. Lesquelles d..  [Support à la re.. ],Q113. 4. Familiarité .. ,Q114_SQ001. 5. Quels mots r..  [Traçabilité],Q114_SQ002. 5. Quels mots r..  [Réplicabilité],Q114_SQ007. 5. Quels mots r..  [Reproductibilité],Q114_SQ003. 5. Quels mots r..  [Explicabilité],Q114_SQ004. 5. Quels mots r..  [Recherche ouverte],Q114_SQ005. 5. Quels mots r..  [Open scholarship],Q114_SQ006. 5. Quels mots r..  [Transparence],Q211_SQ001_0. 6. Etapes assoc..  [Collecter des d.. ][Échelle 1],Q211_SQ002_0. 6. Etapes assoc..  [Numériser des s.. ][Échelle 1],Q211_SQ003_0. 6. Etapes assoc..  [Constituer un c.. ][Échelle 1],Q211_SQ004_0. 6. Etapes assoc..  [Nettoyer des do.. ][Échelle 1],Q211_SQ005_0. 6. Etapes assoc..  [Structurer une .. ][Échelle 1],Q211_SQ006_0. 6. Etapes assoc..  [Analyser des do.. ][Échelle 1],Q211_SQ007_0. 6. Etapes assoc..  [Modéliser des d.. ][Échelle 1],Q211_SQ008_0. 6. Etapes assoc..  [Visualiser des .. ][Échelle 1],Q211_SQ009_0. 6. Etapes assoc..  [Qualifier/ décr.. ][Échelle 1],Q211_SQ011_0. 6. Etapes assoc..  [Sauvegarder et/.. ][Échelle 1],Q211_SQ013_0. 6. Etapes assoc..  [Vérifier les do.. ][Échelle 1],Q211_SQ015_0. 6. Etapes assoc..  [Mettre à dispos.. ][Échelle 1],Q211_SQ018_0. 6. Etapes assoc..  [Aider à la comp.. ][Échelle 1],Q211_SQ019_0. 6. Etapes assoc..  [Former d’autres.. ][Échelle 1],Q213_SQ001. 7. Sources de v..  [Terrain (fouill.. ],Q213_SQ002. 7. Sources de v..  [Instruments de .. ],Q213_SQ003. 7. Sources de v..  [Bases de donnée.. ],Q213_SQ004. 7. Sources de v..  [Bases de donnée.. ],Q213_SQ005. 7. Sources de v..  [Données/bases d.. ],Q213_SQ006. 7. Sources de v..  [Articles scient.. ],Q213_SQ007. 7. Sources de v..  [Sites web et ré.. ],Q213_SQ008. 7. Sources de v..  [Archives ou fon.. ],Q214_SQ001. 8. Données et r..  [Des fichiers de.. ],Q214_SQ002. 8. Données et r..  [Des fichiers de.. ],Q214_SQ003. 8. Données et r..  [Des normes pour.. ],Q214_SQ004. 8. Données et r..  [Des scripts de .. ],Q214_SQ005. 8. Données et r..  [Des logiciels d.. ],Q214_SQ006. 8. Données et r..  [Des notes diver.. ],Q214_SQ007. 8. Données et r..  [Des notes diver.. ],Q221_SQ001. 10. Dans quelle..  [Partage restrei.. ],Q221_SQ002. 10. Dans quelle..  [Partage en lign.. ],Q221_SQ003. 10. Dans quelle..  [Partage en lign.. ],Q221_SQ004. 10. Dans quelle..  [Partage en lign.. ],Q223_SQ001. 11. Avez-vous d..  [D'un comité édi.. ],Q223_SQ002. 11. Avez-vous d..  [D'un comité éth.. ],Q223_SQ003. 11. Avez-vous d..  [D'un financeur .. ],Q223_SQ004. 11. Avez-vous d..  [D'un partenaire.. ],Q223_SQ005. 11. Avez-vous d..  [Non],Q223_SQ006. 11. Avez-vous d..  [Non applicable],Q222_SQ001. 12. De quelles ..  [Par le biais d’.. ],Q222_SQ002. 12. De quelles ..  [Par un système .. ],Q222_SQ003. 12. De quelles ..  [Par mail],Q222_SQ004. 12. De quelles ..  [Par le biais d’.. ],Q222_SQ005. 12. De quelles ..  [Par le biais de.. ],Q222_SQ006. 12. De quelles ..  [Par le biais de.. ],Q222_SQ007. 12. De quelles ..  [Sur un site web],Q222_SQ008. 12. De quelles ..  [Par le biais de.. ],Q222_SQ009. 12. De quelles ..  [Par le bias de .. ],Q222_SQ010. 12. De quelles ..  [Par le biais d’.. ],Q222_SQ011. 12. De quelles ..  [Par le biais d’.. ],Q222_SQ012. 12. De quelles ..  [Par des platefo.. ],Q222_SQ013. 12. De quelles ..  [Je ne sais pas],Q222_SQ014. 12. De quelles ..  [Non applicable],"Q224_1. 13. Selon vous,..  [Classement 1]","Q224_2. 13. Selon vous,..  [Classement 2]","Q224_3. 13. Selon vous,..  [Classement 3]","Q224_4. 13. Selon vous,..  [Classement 4]","Q225. 14. Selon vous,.. ",Q226. 16. Dans quelle.. ,Q227_SQ001. 17. Outre les d..  [Cahier de labor.. ],Q227_SQ002. 17. Outre les d..  [Logiciels et sc.. ],Q227_SQ003. 17. Outre les d..  [Documentation d.. ],"Q227_SQ004. 17. Outre les d..  [Metadonnées, th.. ]",Q227_SQ005. 17. Outre les d..  [Protocole métho.. ],Q227_SQ006. 17. Outre les d..  [Billets de blog.. ],Q228_SQ001. 18. Actuellemen..  [Sur  un ordinat.. ],Q228_SQ002. 18. Actuellemen..  [Sur un ordinate.. ],Q228_SQ003. 18. Actuellemen..  [Sur des support.. ],Q228_SQ004. 18. Actuellemen..  [Sur un serveur .. ],Q228_SQ005. 18. Actuellemen..  [Sur un serveur .. ],Q228_SQ006. 18. Actuellemen..  [Sur un serveur .. ],Q228_SQ007. 18. Actuellemen..  [Sur un serveur .. ],Q228_SQ008. 18. Actuellemen..  [Sur un serveur .. ],Q228_SQ009. 18. Actuellemen..  [Sur un service .. ],Q228_SQ010. 18. Actuellemen..  [Sur un service .. ],Q228_SQ011. 18. Actuellemen..  [Non applicable],Q311. 20. Habituellem.. ,Q3121_SQ001. 21. De qui s'ag..  [Permanent de l'.. ],Q3121_SQ002. 21. De qui s'ag..  [Non-permanent d.. ],"Q3121_SQ003. 21. De qui s'ag..  [Ingénieur.e, te.. ]",Q3121_SQ004. 21. De qui s'ag..  [Personnel suppo.. ],Q3121_SQ005. 21. De qui s'ag..  [Personnel souti.. ],Q3121_SQ006. 21. De qui s'ag..  [Personnel souti.. ],Q3121_SQ007. 21. De qui s'ag..  [Personnel de su.. ],Q3121_SQ008. 21. De qui s'ag..  [Personnel de su.. ],Q3121_SQ009. 21. De qui s'ag..  [Personnel de su.. ],Q3121_SQ010. 21. De qui s'ag..  [Personnel de su.. ],Q3121_SQ011. 21. De qui s'ag..  [Collaboration i.. ],Q321. 22. Quel(s) sys.. ,Q322_SQ001. 22. Dans les 12..  [Logiciels de ty.. ],Q322_SQ002. 22. Dans les 12..  [Logiciels de ty.. ],Q322_SQ003. 22. Dans les 12..  [Logiciels/plate.. ],Q322_SQ004. 22. Dans les 12..  [Logiciels d’ana.. ],Q322_SQ005. 22. Dans les 12..  [Logiciels de tr.. ],Q322_SQ010. 22. Dans les 12..  [Logiciels de tr.. ],Q322_SQ006. 22. Dans les 12..  [Logiciels/plate.. ],Q322_SQ007. 22. Dans les 12..  [Solutions basée.. ],Q322_SQ008. 22. Dans les 12..  [Plateformes d’e.. ],Q322_SQ009. 22. Dans les 12..  [Non applicable],Q323_SQ001. 23. Comment ave..  [En cherchant pa.. ],Q323_SQ002. 23. Comment ave..  [Par les autres .. ],Q323_SQ003. 23. Comment ave..  [Par d’autres éq.. ],Q323_SQ004. 23. Comment ave..  [Par mon (ancien.. ],Q323_SQ005. 23. Comment ave..  [Via les réseaux.. ],Q323_SQ006. 23. Comment ave..  [Par une liste d.. ],Q323_SQ007. 23. Comment ave..  [Au cours d’une .. ],Q323_SQ008. 23. Comment ave..  [Au cours d’une .. ],Q323_SQ009. 23. Comment ave..  [Par des temps i.. ],Q323_SQ010. 23. Comment ave..  [Par une veille .. ],Q323_SQ012. 23. Comment ave..  [Non applicable],Q324_SQ001. 24. Comment vou..  [Par les autres .. ],Q324_SQ002. 24. Comment vou..  [Par d’autres éq.. ],Q324_SQ003. 24. Comment vou..  [Au cours d’un a.. ],Q324_SQ004. 24. Comment vou..  [Par des temps i.. ],Q324_SQ005. 24. Comment vou..  [Par des formati.. ],Q324_SQ006. 24. Comment vou..  [Par des formati.. ],Q324_SQ007. 24. Comment vou..  [Par de la forma.. ],Q324_SQ008. 24. Comment vou..  [Par des tutorie.. ],Q324_SQ009. 24. Comment vou..  [Par des ouvrage.. ],Q324_SQ010. 24. Comment vou..  [Non applicable],Q325_SQ001. 25. Quels types..  [Cahier de labor.. ],Q325_SQ002. 25. Quels types..  [Base de données.. ],Q325_SQ003. 25. Quels types..  [Dossiers partagés],Q325_SQ004. 25. Quels types..  [Outils de prise.. ],Q325_SQ005. 25. Quels types..  [Outils de parta.. ],"Q325_SQ006. 25. Quels types..  [Documentation, .. ]",Q325_SQ008. 25. Quels types..  [Outils de gesti.. ],Q325_SQ007. 25. Quels types..  [Je travaille es.. ],Q411. 28. Connaissez-.. ,Q412. 29. Dans quelle.. ,Q413. 30. Dans quelle.. ,Q414_SQ001. 31. Quels souti..  [Financier],Q414_SQ002. 31. Quels souti..  [Ressources huma.. ],Q414_SQ003. 31. Quels souti..  [Infrastructures.. ],Q414_SQ004. 31. Quels souti..  [Technique],Q414_SQ005. 31. Quels souti..  [Formation],Q414_SQ006. 31. Quels souti..  [Juridique],Q414_SQ007. 31. Quels souti..  [Ethique],Q414_SQ008. 31. Quels souti..  [Non applicable],Q421_SQ001. 32. À quelles é..  [Mise en place a.. ],Q421_SQ002. 32. À quelles é..  [Constitution de.. ],Q421_SQ003. 32. À quelles é..  [Traitement et a.. ],Q421_SQ004. 32. À quelles é..  [Stockage des do.. ],Q421_SQ005. 32. À quelles é..  [Mise à disposit.. ],Q421_SQ006. 32. À quelles é..  [Valorisation de.. ],Q421_SQ007. 32. À quelles é..  [Publication et .. ],Q421_SQ008. 32. À quelles é..  [Non applicable],Q423_SQ001. 34. Par qui sou..  [Des spécialiste.. ],Q423_SQ002. 34. Par qui sou..  [Des spécialiste.. ],Q423_SQ003. 34. Par qui sou..  [Un référent (pe.. ],Q423_SQ004. 34. Par qui sou..  [Une communauté .. ],Q423_SQ005. 34. Par qui sou..  [Une plateforme .. ],Q423_SQ006. 34. Par qui sou..  [Des formations .. ],Q423_SQ007. 34. Par qui sou..  [Des journées d’.. ],Q423_SQ008. 34. Par qui sou..  [Non applicable],Q511. 36. Depuis comb.. ,Q512. 37. Quel est le.. ,Q513_SQ001. 38. Quelle est ..  [Enseignement-su.. ],Q513_SQ002. 38. Quelle est ..  [Enseignement su.. ],"Q513_SQ003. 38. Quelle est ..  [Ingénieur.e, te.. ]","Q513_SQ005. 38. Quelle est ..  [Bibliothèques, .. ]",Q514. 39. Quel est vo.. ,"Q515_SQ001. 40. Lesquelles ..  [Droit, économie.. ]",Q515_SQ002. 40. Lesquelles ..  [Informatique et.. ],"Q515_SQ003. 40. Lesquelles ..  [Lettres, scienc.. ]",Q515_SQ004. 40. Lesquelles ..  [Mathématiques],Q515_SQ005. 40. Lesquelles ..  [Pluridisciplina.. ],Q515_SQ006. 40. Lesquelles ..  [Sciences de la .. ],Q515_SQ007. 40. Lesquelles ..  [Sciences de l’i.. ],Q515_SQ008. 40. Lesquelles ..  [Sciences de la .. ],Q515_SQ009. 40. Lesquelles ..  [Sciences de la .. ],Q516. 41. Quelle est .. ,Q517. 42. Vous êtes :
10,280,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Assez,Oui,Oui,Non,Oui,Oui,Non,Oui,,,,,,,,,M,,,,M,M,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,,,Parfois,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,"Un manque d’habitude de cette pratique dans les communautés de recherche (savoir faire, etc.)",Un temps trop important nécessaire à leur mise à disposition.,Des conditions éthiques limitant leur partage.,"Des barrières juridiques et économiques contraignant leurs partage (contrat de consortium, valorisation, exclusivité, droit d’auteur).",Non applicable,Non applicable,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Nous sommes entre 2 et 5 personnes,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Windows,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Souvent,Plutôt satisfait,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Moins de cinq ans,,Non,Non,Non,Non,Fonctionnaire ou assimilé,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,Une femme
11,321,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Assez,Non,Non,Non,Non,Non,Non,Non,2,,,,,P,,,,,,,,,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,,,,Parfois,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,"Un manque d’habitude de cette pratique dans les communautés de recherche (savoir faire, etc.)",,,,Je ne sais pas,Parfois,Non,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Je travaille seul.e,,,,,,,,,,,,Windows,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Parfois,,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Plus de dix ans,Université,Oui,Non,Non,Non,Fonctionnaire ou assimilé,Non,Non,Oui,Non,Non,Non,Non,Non,Non,autre,Une femme
12,335,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Assez,Oui,Oui,Non,Oui,Oui,Non,Oui,3,,1,1,1,1,,,,1,1,,,M,Oui,Non,Non,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Oui,Oui,Jamais,Jamais,Jamais,Jamais,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non applicable.,,,,Non applicable,Parfois,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Je travaille seul.e,,,,,,,,,,,,Windows,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non applicable,,,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Cinq à dix ans,Université,Non,Oui,Non,Non,En CDD,Non,Non,Oui,Non,Non,Non,Non,Non,Non,sociologie,Une femme
13,350,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Peu,Oui,Non,Non,Oui,Oui,Oui,Oui,P,M,1,,M,1,,,,1,,,,M,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui,,Parfois,Parfois,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,"Un manque d’habitude de cette pratique dans les communautés de recherche (savoir faire, etc.)",Une peur de mésusage des données par les personnes les réutilisant.,La peur d’un renforcement d’inégalités entre des personnes produisant des données d’une part et celles les analysant et en tirant des publications d’autre part.,Un doute sur la capacité de réutilisation des données par d’autres (contextualisation et documentation nécessaire).,Non applicable,Parfois,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Je travaille seul.e,,,,,,,,,,,,Windows,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Parfois,Plutôt satisfait,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Plus de dix ans,Université,Oui,Non,Non,Non,Fonctionnaire ou assimilé,Non,Non,Oui,Non,Non,Non,Non,Non,Non,autre,Une femme
14,401,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Assez,Oui,Non,Oui,Non,Oui,Non,Oui,,,,,,,,,M,M,,,,,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,,,,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,"Un manque d’habitude de cette pratique dans les communautés de recherche (savoir faire, etc.)",La peur d’un renforcement d’inégalités entre des personnes produisant des données d’une part et celles les analysant et en tirant des publications d’autre part.,"Des barrières juridiques et économiques contraignant leurs partage (contrat de consortium, valorisation, exclusivité, droit d’auteur).",Une mauvaise qualité des données en l’état.,Oui,Non applicable,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Je travaille seul.e,,,,,,,,,,,,Linux,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Jamais,,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Moins de cinq ans,Université,Non,Oui,Non,Non,Autre (précisez en commentaire),Non,Non,Oui,Non,Non,Non,Non,Non,Non,histoire,Un homme
15,426,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Pas du tout,Non,Oui,Non,Non,Oui,Non,Non,1,1,2,M,P,2,M,M,M,M,M,M,M,M,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non applicable,Non applicable,Non applicable,Non applicable,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non applicable.,,,,Non applicable,Non applicable,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Je travaille seul.e,,,,,,,,,,,,MacOS,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Parfois,Plutôt insatisfait,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Moins de cinq ans,,Non,Oui,Non,Non,Autre (précisez en commentaire),Oui,Non,Oui,Non,Non,Non,Non,Non,Non,autre,Un homme
16,453,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Peu,Non,Non,Oui,Non,Oui,Non,Non,M,M,M,,M,2,2,1,1,M,M,M,M,M,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Parfois,,,,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Un doute sur la capacité de réutilisation des données par d’autres (contextualisation et documentation nécessaire).,"Un manque d’habitude de cette pratique dans les communautés de recherche (savoir faire, etc.)",Un temps trop important nécessaire à leur mise à disposition.,"Une perspective de mise à disposition qui vient limiter, freiner le travail interprétatif possible.",Non applicable,Parfois,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Nous sommes entre 2 et 5 personnes,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,MacOS,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Non,Plus de dix ans,autre,Oui,Oui,Non,Non,Fonctionnaire ou assimilé,Non,Non,Oui,Non,Non,Non,Non,Non,Non,autre,Un homme
17,456,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Pas du tout,Non,Non,Non,Non,Oui,Non,Non,P,1,P,,,P,,P,2,3,2,,2,,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Oui,Oui,,,,,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Une peur de mésusage des données par les personnes les réutilisant.,Un temps trop important nécessaire à leur mise à disposition.,"Des barrières juridiques et économiques contraignant leurs partage (contrat de consortium, valorisation, exclusivité, droit d’auteur).",,Je ne sais pas,Je ne sais pas,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Je travaille seul.e,,,,,,,,,,,,MacOS,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non applicable,,,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Moins de cinq ans,,Non,Oui,Non,Non,Fonctionnaire ou assimilé,Non,Non,Oui,Non,Non,Non,Non,Non,Non,autre,Une femme
18,461,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Assez,Oui,Non,Non,Oui,Oui,Non,Oui,1,,1,,,3,,2,M,M,,,1,,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Oui,Oui,,,,Parfois,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,La peur d’un renforcement d’inégalités entre des personnes produisant des données d’une part et celles les analysant et en tirant des publications d’autre part.,"Des barrières juridiques et économiques contraignant leurs partage (contrat de consortium, valorisation, exclusivité, droit d’auteur).",Des conditions éthiques limitant leur partage.,Un temps trop important nécessaire à leur mise à disposition.,Oui,Toujours,Non,Non,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Je travaille seul.e,,,,,,,,,,,,Windows,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Plus de dix ans,autre,Non,Oui,Non,Non,Autre (précisez en commentaire),Non,Non,Oui,Non,Oui,Non,Non,Non,Non,autre,Un homme
19,474,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Peu,Non,Non,Non,Non,Oui,Oui,Oui,2,,2,,,,,2,,3,P,,,,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,,Toujours,,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,"Des barrières juridiques et économiques contraignant leurs partage (contrat de consortium, valorisation, exclusivité, droit d’auteur).",Des conditions éthiques limitant leur partage.,Une mauvaise qualité des données en l’état.,Une peur de mésusage des données par les personnes les réutilisant.,Oui,Souvent,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Je travaille seul.e,,,,,,,,,,,,Windows,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Toujours,Très satisfait,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Cinq à dix ans,autre,Non,Non,Non,Non,Autre (précisez en commentaire),Non,Non,Oui,Non,Non,Non,Non,Non,Non,autre,Un homme
